date,open,high,low,close,volume
2018-01-02,93.18,93.489998,92.18,92.440002,3623800
2018-01-03,92.239998,93.910004,92.220001,93.669998,2474500
2018-01-04,94.120003,94.910004,94.019997,94.120003,2125200
2018-01-05,94.510002,94.989998,94.339996,94.709999,1880700
2018-01-08,94.620003,95.309998,94.290001,95.25,1807200
2018-01-09,96.519997,98.879997,96.519997,98.610001,4359200
2018-01-10,98.019997,98.540001,97.220001,98.239998,2464600
2018-01-11,98.489998,98.699997,97.779999,98.589996,2026100
2018-01-12,98.639999,99.660004,98.629997,99.389999,1894500
2018-01-16,99.879997,100.269997,99.139999,99.470001,2226800
2018-01-17,100.050003,100.18,99.080002,99.589996,2542400
2018-01-18,99.540001,100.07,99.110001,99.739998,1316600
2018-01-19,100.199997,100.879997,100.040001,100.559998,2872600
2018-01-22,100.480003,100.709999,99.669998,99.970001,2163200
2018-01-23,100.169998,100.370003,99.690002,99.949997,2383500
2018-01-24,100.300003,101.699997,100.080002,101.379997,2223600
2018-01-25,101.75,103.010002,101.43,102.699997,2134000
2018-01-26,102.980003,103.82,102.779999,103.800003,2433400
2018-01-29,103.610001,104.220001,103.300003,103.690002,2580500
2018-01-30,102.639999,104.82,101.129997,101.599998,3888500
2018-01-31,101.910004,102.57,100.849998,101.279999,3308900
2018-02-01,100.919998,102.190002,100.5,101.860001,2289200
2018-02-02,101.269997,102.529999,101.269997,102.18,4556900
2018-02-05,101.449997,101.849998,96.290001,96.699997,4813100
2018-02-06,95.300003,98.580002,94.75,97.050003,6693900
2018-02-07,96.379997,96.970001,94.75,95.25,5337000
2018-02-08,95.400002,95.550003,92.139999,92.160004,3443100
2018-02-09,93.300003,95.279999,91.839996,94.459999,3693600
2018-02-12,95.129997,95.889999,94.599998,95.410004,2247600
2018-02-13,94.730003,95.449997,94.040001,94.980003,2012600
2018-02-14,94.389999,96.169998,94.120003,96.099998,1504900
2018-02-15,96.989998,97.779999,96.379997,97.470001,1896600
2018-02-16,97.339996,98.419998,96.82,97.540001,1889000
2018-02-20,97.150002,97.739998,96.580002,96.849998,2111600
2018-02-21,96.690002,98.900002,96.629997,97.349998,2177000
2018-02-22,97.879997,98.440002,97.059998,97.360001,2342400
2018-02-23,97.709999,99.389999,97.639999,99.330002,1646700
2018-02-26,99.519997,101.489998,99.25,100.830002,3593000
2018-02-27,100.839996,101.800003,99.540001,99.57,2574800
2018-02-28,99.800003,100.199997,97.760002,97.779999,2047800
2018-03-01,97.75,98.0,95.150002,95.989998,2299900
2018-03-02,95.519997,96.419998,94.910004,96.220001,2318800
2018-03-05,95.639999,97.989998,95.389999,97.580002,1701700
2018-03-06,97.730003,97.769997,96.889999,97.75,1525700
2018-03-07,97.239998,101.230003,96.949997,100.82,3872400
2018-03-08,101.040001,101.660004,100.660004,101.610001,2423100
2018-03-09,102.129997,104.07,101.669998,103.739998,3475000
2018-03-12,103.919998,104.290001,102.860001,103.400002,2292900
2018-03-13,103.889999,104.290001,102.57,102.800003,2060000
2018-03-14,102.980003,103.480003,101.849998,102.18,1514000
2018-03-15,102.379997,102.660004,101.970001,102.220001,1287600
2018-03-16,102.510002,102.669998,101.889999,101.93,2509200
2018-03-19,101.790001,101.849998,99.550003,100.309998,2147600
2018-03-20,100.309998,100.860001,100.010002,100.559998,2329000
2018-03-21,100.860001,100.989998,99.800003,99.809998,1974900
2018-03-22,99.080002,99.870003,97.220001,97.489998,1875700
2018-03-23,97.910004,98.410004,95.709999,95.940002,2472400
2018-03-26,97.150002,98.349998,96.470001,98.160004,3181400
2018-03-27,98.699997,98.989998,96.690002,97.25,2061800
2018-03-28,97.489998,97.970001,96.349998,96.519997,2347600
2018-03-29,96.889999,98.529999,96.660004,97.910004,2275800
2018-04-02,97.620003,97.809998,95.019997,96.099998,2601300
2018-04-03,96.75,98.349998,96.480003,98.230003,2172100
2018-04-04,96.849998,99.260002,96.160004,99.059998,2183100
2018-04-05,99.559998,99.739998,98.790001,99.220001,1624200
2018-04-06,98.529999,99.019997,95.769997,96.660004,1804100
2018-04-09,97.360001,98.949997,96.720001,97.599998,2019600
2018-04-10,98.809998,100.540001,98.809998,99.519997,2312800
2018-04-11,98.800003,99.139999,98.029999,98.419998,1764900
2018-04-12,99.139999,99.68,98.959999,99.0,1485400
2018-04-13,99.589996,99.760002,98.720001,99.239998,1344100
2018-04-16,100.139999,100.93,100.010002,100.419998,1458300
2018-04-17,101.0,101.959999,100.370003,101.690002,2563300
2018-04-18,102.029999,102.650002,101.639999,102.400002,2100800
2018-04-19,103.0,103.980003,100.43,101.5,3388900
2018-04-20,101.370003,102.220001,100.360001,101.339996,3660100
2018-04-23,101.699997,101.989998,100.849998,101.199997,2184600
2018-04-24,101.220001,101.639999,99.209999,100.099998,2551000
2018-04-25,100.07,101.160004,98.599998,100.489998,3112900
2018-04-26,100.720001,102.410004,100.489998,101.779999,1952200
2018-04-27,102.0,102.129997,101.279999,101.639999,1497700
2018-04-30,101.699997,101.82,100.220001,100.32,2229800
2018-05-01,100.349998,100.970001,99.989998,100.889999,2347500
2018-05-02,100.57,100.849998,99.260002,99.559998,1966400
2018-05-03,99.139999,99.43,97.739998,99.0,3142000
2018-05-04,98.68,100.480003,97.870003,100.199997,2716900
2018-05-07,100.410004,101.370003,99.43,99.580002,2636100
2018-05-08,99.5,99.650002,98.900002,99.18,2512500
2018-05-09,99.220001,100.150002,98.779999,99.540001,2053900
2018-05-10,100.0,101.440002,99.739998,101.169998,1462600
2018-05-11,101.139999,102.389999,100.93,101.809998,2111600
2018-05-14,101.940002,103.139999,101.839996,102.669998,2567900
2018-05-15,101.449997,101.839996,99.860001,100.239998,2604900
2018-05-16,100.220001,101.199997,100.089996,100.699997,1390800
2018-05-17,100.699997,101.260002,100.379997,100.779999,1442900
2018-05-18,100.650002,101.510002,100.349998,101.25,1754000
2018-05-21,101.720001,102.860001,101.629997,102.239998,2165600
2018-05-22,102.330002,102.480003,101.300003,101.410004,1366900
2018-05-23,101.160004,102.349998,101.120003,102.32,2057800
2018-05-24,102.440002,103.129997,101.879997,102.290001,1309900
2018-05-25,102.349998,103.019997,101.839996,102.129997,1223400
2018-05-29,101.120003,101.440002,99.620003,100.550003,2875500
2018-05-30,101.029999,101.68,100.790001,101.25,1494800
2018-05-31,101.309998,101.309998,99.260002,99.279999,2575800
2018-06-01,100.099998,100.919998,99.800003,100.589996,2200600
2018-06-04,100.989998,102.269997,100.839996,101.870003,2218000
2018-06-05,102.019997,102.699997,101.650002,102.089996,1962700
2018-06-06,102.199997,102.879997,101.690002,102.800003,2751400
2018-06-07,103.029999,103.32,102.120003,102.5,2229500
2018-06-08,102.760002,103.199997,102.489998,103.0,1890700
2018-06-11,103.029999,104.0,102.879997,103.239998,2062200
2018-06-12,103.440002,104.129997,102.93,103.160004,2768000
2018-06-13,103.230003,103.580002,102.540001,102.620003,2068200
2018-06-14,103.0,103.410004,102.309998,102.639999,2631800
2018-06-15,102.050003,103.07,100.629997,102.309998,4509500
2018-06-18,101.57,101.849998,100.699997,101.269997,1645300
2018-06-19,100.440002,100.809998,99.610001,100.029999,2738300
2018-06-20,100.269997,100.620003,98.919998,99.139999,2386800
2018-06-21,99.199997,99.43,97.68,97.910004,2809200
2018-06-22,98.760002,99.949997,98.230003,99.300003,2819600
2018-06-25,99.080002,99.080002,98.029999,98.860001,2856200
2018-06-26,99.089996,99.550003,98.599998,99.120003,2336900
2018-06-27,99.510002,100.800003,98.150002,98.150002,2745500
2018-06-28,97.970001,98.940002,97.089996,98.620003,2013800
2018-06-29,98.830002,99.650002,98.639999,98.68,2352000
2018-07-02,98.18,98.260002,97.400002,98.129997,2158800
2018-07-03,98.660004,99.330002,98.209999,98.470001,1244000
2018-07-05,99.080002,99.449997,98.25,98.860001,2483000
2018-07-06,99.0,99.489998,98.870003,99.330002,1903600
2018-07-09,99.599998,99.919998,99.040001,99.5,3205700
2018-07-10,99.699997,100.480003,99.489998,100.160004,1761500
